customer_tweet_id,customer_text,intent,should_escalate,escalation_reason,brand_reply_text_actual
191759,"@AmazonHelp Still now issue was not been resolved, Same mail i'm getting repeatedly where as i need refund asap.",refund_request,TRUE,repeated/unresolved contact,"@161062 Apologies for the inconvenience. Kindly respond to the email you've received from our team, we'll get back to you soon. ^AP"
2878660,@115850 @132995 Where is no cost Emi?,product_or_shipping_inquiry,FALSE,"routine query, no escalation needed","@798975 If an item is eligible for No Cost EMI, you will find the statement 'No Cost EMI available if you check out only with this item' on the product detail page below the price of the item. ^NS"
1124533,@AmazonHelp Have Received no email from your social media team.,product_or_shipping_inquiry,TRUE,lack of response from support team,@339026 Looks like we've received your details now. We're working and this and will get back with an update shortly. ^YP
1612530,Amazon said they would give me my package before 8 pm and it's 11 minutes til. Y'all better drive fast,delivery_delay,TRUE,customer frustration with delivery timing,@494821 I'm sorry for the wait! What does the most up to date tracking information say here: https://t.co/Y5jpI9gRhE? ^DW
262175,@AmazonHelp No there is no edit option.,account_login_issue,FALSE,"routine query, no escalation needed",@178446 I'd like to have a member from our support team lend you a hand; please contact us here: https://t.co/JzP7hlA23B ^WM
2317940,@115850 will you please provide me contact number of delivery boy its out for delivery but didn't receive any massage,product_or_shipping_inquiry,TRUE,request for contact information,@415261 I request you to please wait until the end of the day &amp; I'm positive that your order shall be delivered. You may get in touch with us here: https://t.co/nGTekcKHPF for further assiatance. ^SF
885491,"@115830   you lot need to relax with the size of  boxes uses , be environmentally  friendly  less is more!",positive_feedback,FALSE,,@330259 Thanks for the feedback! You can submit more packaging feedback here: https://t.co/Tz3gTMn83W. ^VB
1512035,Remembering that prime now wine delivery is 1 block is out of my range is the second shittiest part of my day.,product_or_shipping_inquiry,TRUE,customer frustration with delivery limitations,@470941 We would like to look into this further with you.  Please provide more details here: https://t.co/BGuMZ07yFo ^KH
1763186,@115850 msi products are displaying different prices in d item list and cart. Kindly fix this. @AmazonHelp https://t.co/oX20iEg17U,billing_dispute,TRUE,pricing discrepancy issue,@530475 That's strange! Sorry that you're facing issues while checking out. Kindly connect with us here: https://t.co/O5oyeIOpfI ^KK
1100631,@AmazonHelp hiya any reason why my prime service quotes 3 days for delivery on everything??,prime_membership_question,FALSE,,"@379678 Hi there! The shipping method time refers to the transit time, and some items aren't able to be shipped right away. Please let us know if we ever miss the delivery date provided via checkout/e-mail, and we'll be happy to help out in any way we can! ^WJ"
1458958,Two @115830 Prime items taking a WEEK to deliver. How can they list as Prime items?! 🙄 hopefully dog will be okay in time for 🎇night ☹️,delivery_delay,TRUE,customer concern for pet safety,@458633 given in your order confirmation e-mail? You can also see this date here: https://t.co/aaDyEz1VgE ^HC (2/2)
144084,"@AmazonHelp Hi team already call your customer services many times but they are not resolving the issue , kindly check with them and get the issue resolve..kindly deliver my requested product",delivery_delay,TRUE,repeated/unresolved contact,"@148578 That's rather unexpected, Atul. We'd like to take a better look at this order, please fill in your details here: https://t.co/GIJyeYqKE0 and we'll reach out to you."
1442355,@116618 is tonight’s football game on amazon prime? The next one showing on your website is 11/9,product_or_shipping_inquiry,FALSE,,@454665 It looks like the next game is November 9th! You can check our schedule here: https://t.co/WFju1oMX3F I hope this helps! ^KJ
322942,@115850 Hi Team am very disappointed with new launch 10.Or G Fulfilled by Amazon. ☹️😖😤,product_or_shipping_inquiry,TRUE,customer expressed disappointment and frustration,@192928 Could you please tell us more about the issue Srinivs? ^HN
1432299,"@AmazonHelp Yes, you’ve missed the “Customer experience” part here. @115821",customer_experience_issue,TRUE,explicit anger,"@452587 Sorry to know that, please let us know more about what went wrong? We'll definitely look into it. ^PS"
339702,"@AmazonHelp I'm not comfortable connecting my amazon account to social media accounts for a variety of reasons, is there another method I can use?",account_login_issue,FALSE,routine inquiry about account security options,@197125 (2/2) You'll be able to add more info about what's going on and it ensures a member of team is looking into it for you. ^DW
363698,"Loving the @5903 CX180 street 2 ear headphones, thanks @115850 your prime deliveries are awesome for most.",positive_feedback,FALSE,,@174942 You're welcome. BTW those are awesome set of earphones. What was the first track that you played? ^HA
2513646,"@AmazonHelp 2 parcels arrived yesterday, one is bashed with a dent in it and the other has ripped lining!",damaged_or_defective_item,TRUE,customer received damaged items,@180476 My apologies Nikki. Were the contents damaged? ^DC
970300,"@AmazonHelp It's 7 days since my last complaint about returning the phone . 
@115850 wants me to continue using this defective product.",damaged_or_defective_item,TRUE,repeated/unresolved contact,@350258 link provided here: https://t.co/5P1GfT07RC? 2/2 ^AP
562976,@115833 Hi. Alexa calling has been setup with my work phone contacts and not my personal phone contacts. How can I change the contacts list? Thanks,product_or_shipping_inquiry,FALSE,,@251784 Hello! So sorry for your trouble try these steps with your personal phone and see if it helps: https://t.co/Pfob8Sfdbe ^LS
2697569,"A shirt I bought on @115821 was delivered to an address I’m not associated with at all, in FL, I live in DE. Can’t contact the seller and can’t leave a review. More then a little mad.",delivery_delay,TRUE,customer is very upset and unable to contact seller,@757974 I'm sorry you didn't receive your shirt. We definitely don't want to let you down. Have you contacted us about the missing item: https://t.co/hApLpMlfHN? ^KB
2067281,@115850 order placed for #ChocoMeltz but u modified it with #Chocofills inspite of requesting for cancellation after no availability with u.Kindly look into it https://t.co/G0uX5IM8Ex,billing_dispute,TRUE,customer requested cancellation but order was modified instead,"@611315 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^MN"
1014170,"@AmazonHelp This purchase also has Prime in the title, because I had Amazon Prime when I bought it. https://t.co/vxhJpHDsHC",prime_membership_question,FALSE,,@359364 We'd like to look into this further with you. Please reach out to us by phone or chat here: https://t.co/qy3J24VGxb ^GR
1391143,"Sick of being lied to and let down by @115830 and @116324. Have to go shopping now for a replacement, despite promises made 40 mins ago!",delivery_delay,TRUE,customer expressed anger and frustration,"@323707 We'd like to help! Without providing any account sensitive info, could you tell us more about the issue? ^ZW"
846938,@115821 @AmazonHelp why am I unable to do something as simple as exchange a pair of shoes? Can't return and reorder at same price either 😔,product_or_shipping_inquiry,TRUE,customer frustration with exchange process,@321289 Hi Meaghan! Unfortunately not every item is eligible for exchange. You can see your options here: https://t.co/2NkKdvBHoI ^JD
1160605,@AmazonHelp ordered something on Saturday for next day delivery with prime. 3 days later still no parcel. Care to tell me where my stuff is?,delivery_delay,TRUE,repeated unresolved contact,"@393052 Also, what does the latest tracking update show here:https://t.co/aaDyEz1VgE? Let us know! We'd love to help. (2/2)  ^SA"
215218,Wow I was so excited to open my package from amazon and they send me the wrong shit smh pmo,damaged_or_defective_item,TRUE,customer frustration with wrong item received,"@167133 Oh no, we're sorry to see this! We'd like to help; please reach out to our customer support team here: https://t.co/hApLpMlfHN ^WM"
2633210,@AmazonHelp I haven’t even got a prime membership to cancel.,prime_membership_question,FALSE,,"@743488 Thank you for letting us know! We would like to investigate this further. Please, contact us via phone: https://t.co/JzP7hlA23B ^EB"
105012,"Dear @115821, does this mean it’s not coming at all? https://t.co/pZ0dvve684",delivery_delay,FALSE,,"@139200 Thanks for reaching out! No, it doesn't mean it is not coming. It could have been delayed. Could you check here https://t.co/Y5jpI9gRhE to see if a new updated delivery date has been provided?
^AV"
450826,The level of hate I have for @AmazonHelp @115821 grows with each incorrect delivery. Learn to read a map. 😡,delivery_delay,TRUE,explicit anger,"@221891 This isn't at all the experience we strive for, I'm truly sorry to hear of this! With Twitter, we don't have access to account or order information but we're happy to help! Who was the delivering carrier? Check: https://t.co/Y5jpI9gRhE and please, let us know. ^JE"
461296,@AmazonHelp UPS has no idea where this package is. I need your help to cancel this order as soon as possible.,delivery_delay,TRUE,customer needs urgent assistance with order cancellation,"@209029 Were you able to get in touch with us through the link provided by EZ? If so, what information or options were offered to you? ^GG"
2677404,"@AmazonHelp Thanks, Keep the good work alive.",positive_feedback,FALSE,,@753511 You're most welcome. ^SK
2871626,@AmazonHelp The people you have doing chat support are the worst with their canned responses and zero empathy. Also you guys are really sucking at SAME day deliveries.,delivery_delay,TRUE,customer frustration with support quality,"@164344 I'm sorry for the poor experience you've had with us today! Without providing account or personal details, could you tell us what the original issue is? We'd love to help! ^AR"
715468,@115821 I ordered this from you &amp; payed for 1 day shipping &amp; this happens?! I ordered 208 not 213. I needed this ASAP. Now what? @AmazonHelp https://t.co/EhUYrJ3yqS,delivery_delay,TRUE,customer needs urgent resolution,@291191 I'm sorry you received the incorrect item. Please contact us here so we can look into this: https://t.co/EKXRLsnxJu ^GG
2126690,@AmazonHelp Yes. I've logging in twice. Still shows unavailable.,account_login_issue,TRUE,repeated login failure,@626215 Apologies for the experience. We have escalated this to our team internally. We'll get back to you with an update soon. ^GD
1586757,"@AmazonHelp Done that, yet again! 🙄",delivery_delay,TRUE,repeated/unresolved contact,@274956 Thank you for confirming. We'll check and get back to you at the earliest. ^RI
633693,Waited in ALL DAY for Colis Prive delivery. Said parcel been sitting in a depot less than one hour from my house since FRIDAY. Moved to secondary depot (closer to my house) yesterday. Tracking now shows it at yet another depot 20 mins away. Snail mail @AmazonHelp ??,delivery_delay,TRUE,repeated/unresolved contact,@270206 I'm so sorry for the wait! Have we missed the delivery date given in your order confirmation e-mail? ^MH
2596364,"@115821 if i pay for one day shipping on a product and it doesnt get here when its supposed to, can i get a refund for paying the extra money for the one day shipping? #justasking",product_or_shipping_inquiry,FALSE,,@265687 Have we missed our estimated delivery date for you order found here: https://t.co/kPmyockpnF? ^SG
2343958,@121284 Hello! Is it possible for me to add multiple Amazon accounts to my Echo Plus device?,product_or_shipping_inquiry,FALSE,,@677881 Please contact us here: https://t.co/9mwpIdOzZn and we'll help you with the information accordingly. ^MO
1771668,@AmazonHelp Nope haven't purchased anything in over 6 months which makes it more confusing?,account_login_issue,FALSE,routine status check,"@532541 Hi, do you own a Kindle, or watched a Prime Video title? It's possible to sign up via different devices in a household. ^TS"
2822324,@115830 deliveries are 36 hours late and customer service hang up on you!! Amazing service to date!!,delivery_delay,TRUE,repeated/unresolved contact,@786509 I'm sorry to hear of this. What was the last update on your tracking? ^KI
2854270,@AmazonHelp Just found a credit card payment I do not recognise for Amzn Clddrv Unlmtd. Who do I contact?,billing_dispute,TRUE,unrecognized payment issue,"@60163 I'm sorry for the unrecognized payment, Ian! We can look into this with you here: https://t.co/JzP7hlA23B. ^WJ"
1379478,@AmazonHelp Something must have helped since I received my deliveries around lunchtime today :-) Thank You!  Let's hope it's the same scenario tomorrow,positive_feedback,FALSE,,@441143 Brilliant! 😁 I'm so glad everything worked out! Please keep us posted on tomorrow's delivery! ^FD
1751602,"@115830 I ordered a copy of @69997 latest book but tho Amazon said it has been delivered, it hasn't. How can this be addressed?",delivery_delay,TRUE,unresolved delivery issue,"@331458 Oh no! Just to clarify, have you tried locating the parcel using the tips listed here: https://t.co/IcKYyHdrsm ^AL"
665495,"@115850 Never purchased from @115850 they are doing #refundfraud ,when you will ask for refund they will say already done but you will never getit",refund_request,TRUE,explicit anger or threats,"@358466 That's quite a remark, Farheen. Please elaborate your concern for us to assist you. ^SV"
382346,@AmazonHelp I've once again posted my reply now. You can check in your records.,billing_dispute,TRUE,repeated/unresolved contact,@175582 Were you able to successfully submit your details through the secured link shared? ^HK
912856,@AmazonHelp Yes i spoke to your team 3-4 times with false promises of delivery and few vouchers to pacify. Very disappointed,delivery_delay,TRUE,repeated/unresolved contact,@336781 Sorry for the experience you had. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest. ^NK
1550779,@115821 if an order is supposed to arrive sat the 4th and still hasn't shipped is it still going to show up on time?,product_or_shipping_inquiry,FALSE,,"@479949 The order can ship anytime between now and the delivery date. If you haven't received it by 8PM 11/4, please let us know. ^BH"
1022880,"@115850 my account is __email__, i never use my 200 rs this was gift voucher given by amazon. U cut my 155 rs.  bad service",billing_dispute,TRUE,explicit anger or threats,"@362051 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^HA"
2182619,"@AmazonHelp Thanks, I'll try to find that out, don't know my Twitter name!",account_login_issue,FALSE,,"@421025 Hey, Jenny. Looks like it's ""jennybrfr."" Hope this helps! ^LB"
314227,@AmazonHelp Yea. This happened with two order. One had the delivery date this past Monday but as of the day before it was out of stock and unshipped.,delivery_delay,TRUE,repeated/unresolved contact,@191020 So sorry to hear about this Michael. ^KM
1307805,@AmazonHelp Its a delivery at offc and the same was mentioned while ordering. It should come by 5pm. Pls confirm.,product_or_shipping_inquiry,FALSE,,"@425088 We won't be able to assure you the time. However, packages will be delivered to commercial address by 6 PM or 7 PM. ^OS"
1576202,"I ordered a product at 12:30 in the night and @115850 delivered it 9.30 in the morning. 
How are you doing this @115821 
#mindblown #GreatForTheBrand #AmazonGreatIndianFestival #AmazonIndia",positive_feedback,FALSE,,@209239 Just a trade secret between you and us. We got Superman working for us.😉 ^HK
728343,@AmazonHelp I just want 1 and would like a refund on the 2nd but does that mean I can't open the box if they come in one package and start from scratch,refund_request,TRUE,ambiguous case regarding refund process,"@294490 Hey, you can just return one and you should get a refund for it and keep the second one. ^AS"
1125002,"@115850
Very very poor service.  

Damaged product.  
Terrible Attitude by your customer care executives. 

You'll need to rethink your  training of customer care.",damaged_or_defective_item,TRUE,explicit anger and unresolved issue,@385272 Apologies for the experience you had with this order. Please share your details here: https://t.co/beaaDm0muc and we'll contact you soon.​ ^JS
2800448,Things you dont do @AmazonHelp this day in age is have cust. service reps act like twats #screenshots,customer_service_complaint,TRUE,explicit anger,@781273 I'm sorry for the poor experience! We've responded to your DM. Please make sure to check your messages. ^JM
2279688,"@115821 Has the worst customer service I've ever dealt with! I ordered stuff for my girlfriends birthday and they messed up not one, but three different transactions. After talking to my fifth rep they were rude condescending and to top it off refused to hang up the phone.",billing_dispute,TRUE,repeated unresolved contact and explicit anger,"@662759 I am sorry for the experiences you've had! Without giving any personal or account information, could you tell us more about the situation? We're here to help! ^MW"
1033214,"@AmazonHelp Its a big problem, is a call possible?",product_or_shipping_inquiry,TRUE,customer requests a call for assistance,@364449 here: https://t.co/vlvfJr4nN9 and we'd get back to you soon. 2/2 ^RS
2290894,@AmazonHelp the tracking on Sat after the  had changed to expected on the 14th when on the 10 it said delivery today,delivery_delay,FALSE,routine status check,"@665418 Thanks for clarifying Sally. Please keep us posted, we want to ensure your order reaches you as soon as possible. ^TP"
2931414,@AmazonHelp Did yesterday. Im attaching the screenshot of reply https://t.co/YNYODCLsJs,delivery_delay,TRUE,repeated/unresolved contact,"@786135 If the resolution provided is not up to your expectations, please respond to the correspondence which you have received. We'll assist you further. ^SC"
2254407,@AmazonHelp hello can you get back to my message please I have inboxed you thank you,product_or_shipping_inquiry,TRUE,repeated/unresolved contact,"@656692 I understand your concern, Chris! We have responded to your Direct Message. Please respond to us via that platform. ^HM"
2205105,@115828 @63853 What if we preordered before the sweepstakes? Or does it have to be NOW now for one to enter?,product_or_shipping_inquiry,FALSE,,"@644766 When you look at your Pre-Order confirmation: https://t.co/q4LAMZ3tbE are you seeing a Pre-Order code? If you have it, you can use it to sign up following these steps: https://t.co/JS766HYTrX ^AF"
2142184,Amazon how are you going on try to deliver to me at 9 pm??? I’m in bed and your driver is calling me why.,delivery_delay,TRUE,customer is disturbed by delivery timing,@629861 Hi- At a residential address delivery can take place up until 9pm. Sorry if we woke you. ^NV
671728,"@AmazonHelp Already did that last night, still no response.
Also, 1st number of delivery boy remain switched off whole day and today number was updated and when i called that number someone else answered that call. Please look into this and get my 5T delivered today.",delivery_delay,TRUE,repeated/unresolved contact,@280268 Apologies for the delay in delivering the product. We would like to take a closer look into this. Please drop your details here: https://t.co/beaaDm0muc and we'll get back to you at the earliest. ^SC
1307764,@AmazonHelp This is not the first time I have experienced this in each and every order placed at amazon,delivery_delay,TRUE,repeated/unresolved contact,@120538 I’m sorry about the issue you’re facing with the order. Let us look into it. (1/2)^HR
1390704,"@AmazonHelp Third one works but brand like you this very worst customer experience, 2nd payment refunded, and not the first one",billing_dispute,TRUE,repeated/unresolved contact,"@324993 I'm sorry, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. ^SI"
454503,@AmazonHelp I placed 1 order for several items and all have different ship dates. You placed the one that did not violate the terms of our agreement at the top of the list so as to appear to be in compliance.,product_or_shipping_inquiry,TRUE,customer dissatisfaction with shipping terms,"@222860 Two-Day Shipping refers to transit time, in business days, once shipped. If your orders arriving later than promised, we're happy to assist you directly via this link: https://t.co/hApLpMlfHN. Guaranteed Delivery details: https://t.co/9EICOiIvfa ^JR"
1305193,"Thanks @115821 for my green @4461 replacement, although it seemed embarrassed for arriving in such a large package. 😂 https://t.co/vaAGiJnCVl",positive_feedback,FALSE,,"@424987 Thanks for making us aware of this, Bethany! We'd love to get packaging feedback from you here: https://t.co/hlGgUoFQ81 ^SH"
316327,@115850 super disappointed in the delivery service after calling the customer service 15 times still no help,delivery_delay,TRUE,repeated/unresolved contact,@191533 Sorry to hear that. Kindly drop in your details here: https://t.co/fa1MvNCmEa and we'll work on it. ^NS
57475,Hey @117634 my kindle starting advancing left to right instead of right to left. How do I fix that?,product_or_shipping_inquiry,FALSE,,@129035 Great question! Have you tried any of these troubleshooting steps: https://t.co/phofknSjeE? Please let us know! ^KJ
105006,"@AmazonHelp my order shipped on Monday and was due today, the shipping info has nothing more than passed to carrier since the apparent dispatch. Ru able to look into this more? Thanks",delivery_delay,FALSE,routine status check,"@139199 We're here to help. Did you order this from https://t.co/nUUp5MLhYl, https://t.co/ykTUEmdsQA, etc? Please let us know so we can best assist. ^AX"
1048122,@115850 Wanted to buy AppleMacBook Air. Priced 49k from Amazon and 43k(after 14k cashback) in paytm.Wish you could do something!  :(,product_or_shipping_inquiry,FALSE,,"@200987 I comprehend that this is promotion related. Could you elaborate the issue, so that we can assist you accordingly? ^JS"
2832965,@AmazonHelp @115830 Thanks so much for not helping or even trying to! Nice to know that Amazon doesn't care about their customers! 'Merry Christmas!' NOT HAPPY! 😕😒😔,customer_discontent,TRUE,explicit anger,@596989 What Christmas club did you receive the Gift Card from?^CD
2589134,@AmazonHelp been asked this question in the past?,product_or_shipping_inquiry,FALSE,,@733458 Thanks for reaching out! Can you tell us if you've set up Two-Step Verification on your account? ^HS
1264533,@115830 I need to talk to someone how can I call you?,product_or_shipping_inquiry,FALSE,routine inquiry,@416109 Hi Rachael. You can contact us here: https://t.co/JzP7hlA23B ^PK
237734,"@AmazonHelp I think this 4 days back mail you are talking of??

Already replied boss https://t.co/rgMlXQUGSi",delivery_delay,TRUE,repeated/unresolved contact,"@158284 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. ^GK"
1015664,@117093 we have to come up with a better plan for the green boxes for cold food. THEYRE ANNOYING and take up soooo much room.....,product_or_shipping_inquiry,FALSE,,@360305 We're always looking for ways to improve! You can submit packaging feedback for your order here: https://t.co/hApLpMlfHN ^NM
2130973,"@AmazonHelp hi there i have been having problems with my orders page, talked to you guys via email and got told to log into account 2. how do i go about that so i can see if my order is still there or not",account_login_issue,FALSE,,"@168347 You can see your active, canceled and digital orders listed here: https://t.co/Y5jpI9gRhE  Do you see your order? ^DD"
2628848,@AmazonHelp Will do that now!,positive_feedback,FALSE,,@742460 Sure Poornima. Do keep us posted for any further concerns. ^SG
2372318,Deliveries from @115821 have been late and damaged not feeling like this is a Prime service.,delivery_delay,TRUE,repeated/unresolved contact,@684446 I'm sorry your orders have been arriving late and damaged! Has it been the same carrier for all of these rogue orders? Please check here: https://t.co/j9NnJmkYT1 ^BE
2717993,"@115830 2/2 packages lost this year in postal, and no way to report orders as never arrived on your website. Do I have to go to my bank to cancel the payment?",delivery_delay,TRUE,repeated/unresolved contact,"@762837 Hi, can you tell us which Amazon site you ordered from? Was it https://t.co/7yV9C8UyS7 etc? ^BZ"
1384042,"@AmazonHelp Chat failed to understand, phone operator disconnected me!",account_login_issue,TRUE,repeated/unresolved contact,@366642 What return info were you provided when on chat Tony? Were you provided with a return label? ^TP
1446420,@115821 https://t.co/YeooVvWzja Please let me know the purcjase method. you accept DHL?,product_or_shipping_inquiry,FALSE,,@455628 You can see the purchase methods for the marketplace here: https://t.co/r4QcTyb6Od. Let us know if you have other questions! ^TG
240557,@AmazonHelp I have filled up the details &amp; I want a resolution ASAP. Because I am done with @115850 asking for more time. @AmazonHelp @115821 https://t.co/uXOPxAvQzC,refund_request,TRUE,repeated/unresolved contact,@173140 We've received your details and we'll get back to you soon. ^PS
1102385,@115850 Pathetic service. Product nt rcvd &amp; updated it is delivered &amp; tht 2 sunday 5:30am..#hatsoff#amazonamazingdelivery#48hours https://t.co/iByymsgQsj,delivery_delay,TRUE,explicit anger,@380122 Have you reported this to our support team here: https://t.co/vlvfJr4nN9? We'll get this sorted. 2/2 ^MJ
2611677,Very bad service @AmazonHelp,customer_service_complaint,TRUE,explicit anger,"@521085 Could you please let us know what went wrong from our end? So that, we could assist you accordingly. ^AM"
1326899,@115850 Had a Problem cuz of courier boy now I cannot return my product. Please Help!!!!!!!!,return_issue_due_to_courier,TRUE,customer unable to return product due to courier problem,"@429593 I'm sorry for any unpleasant situation with the courier person, call us here: https://t.co/vlvfJr4nN9 &amp; we'll help you. ^MJ"
2881962,@137341 purchased a new kindle had an issue while setting up kindle unlimited used your chat service support and within a minute it was resolved. Thanks to Priya customer executive and @115850 for this efficient service,positive_feedback,FALSE,,@170623 We're glad to know that the issue was resolved. We appreciate your kind words and feedback. ^EM
539733,"Sigh. Never been so truly disgusted with customer service experience to get something installed via @115821 Home. @AmazonHelp. Cancelled appointments, long waits, no communication. #FAIL",customer_service_issue,TRUE,explicit anger and unresolved contact,"@245181 Hi, have you been in contact with us directly by phone or chat? If so, can you tell us what you have been advised?^BZ"
910316,.@115830 this is the 2nd time you’ve failed to deliver when someone’s been in. Ordered to my parents and now will be gone when it arrives😡,delivery_delay,TRUE,repeated delivery failure,@336226 I'm sorry your order hasn't arrived! Are you seeing a trend with a particular carrier? We'd like to help! ^ZW
2111097,"@AmazonHelp how does something that shipped on Monday, with an expected arrival of Thursday by 8pm get considered 2 day shipping?  I'd have gladly paid for expedited shipping had I known your 2 day method took 4 full days... 

-not a happy prime customer",product_or_shipping_inquiry,TRUE,customer dissatisfaction with shipping expectations,"@622712 Hi, the shipping time refers to business days once an order ships. Occasionally, items may require extra processing time. ^PJ"
1223599,"@AmazonHelp Well I called about an issue....Was first told that OBVIOUSLY it happened!
I submitted my problem, then nobody helped me.
I got a lot assurances but none of them sustained.",billing_dispute,TRUE,repeated/unresolved contact,@407063 Apologies for the ordeal. Please share your details in this secured link: https://t.co/beaaDm0muc and we’ll have this checked for you. ^SS
793912,"@AmazonHelp Most video content is not available in my location, Prime reading also requires me to buy all the content offered for free under prime.",prime_membership_question,FALSE,,"@309298 I'm sorry, most of our Prime benefits are only available for customers in the U.S. More info: https://t.co/H0ArIjKxTv ^RA"
1316520,@AmazonHelp Yes the email I got was __email__   it's about a seller account,account_login_issue,FALSE,routine inquiry about seller account,@321672 Sorry to hear this - please contact us so we can clarify:  https://t.co/JzP7hlA23B  ^TD
2858182,"@AmazonHelp The link takes me to returns. The sweetener is not ""eligible"" for return.",refund_request,TRUE,item not eligible for return,"@228687 I'm sorry for the trouble! Please reach us by phone here: https://t.co/Q7Ftz6nj80, so we can look at available options with you. ^JM"
1316032,"@AmazonHelp was speaking with Manish @115830, so helpful, I accidentally closed the chat before saying thank you. 😞 Can this be passed on?",positive_feedback,FALSE,,"@427435 Aww Beth, that's so nice of you! :-) you are sent a survey after the contact where you can love feedback and say thanks! ^AT"
823572,Hey @115821 and @115940 did you know that the Hulu app on the Fire Stick makes the Stick crash EVERY.SINGLE.TIME? Can we fix this? https://t.co/oBLg9xQR1n,product_or_shipping_inquiry,TRUE,repeated/unresolved contact,@316183 Hi Diana! Thanks much for letting us know. That does sound frustrating!  What steps have you tried to trouble shoot the issue? ^JD
1119206,@AmazonHelp I have phoned and emailed each time and keep getting advised it will be raised with the carrier ...,delivery_delay,TRUE,repeated/unresolved contact,@384073 Is it the same carrier each time Nicole? ^KM
2728001,@AmazonHelp I have talked to 3 agents in 2 days. They have all lied to me. Every time. It’s very frustrating.,delivery_delay,TRUE,repeated/unresolved contact,@764939 I'm so sorry for the frustrating experience you've had! Please let us know if your package doesn't arrive today. ^VF
927588,@AmazonHelp What's ur email id on which I should write my problem,product_or_shipping_inquiry,FALSE,routine status check,"@340075 Please reply to the email correspondence sent by the social media team, we will respond with more info. ^SB"
976210,"@115850 order no 
407-2143872-4527558 lying in the nearest hub from past 2 days, hardly 3km from my home, why delay in delivery?",delivery_delay,TRUE,repeated unresolved contact,"@351528 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW"
2441721,"@117634 Hi plz can you help/direct me to who can. We enrolled our book on Kindle Unlimited but since then have noticed our sales drop but ""pages read"" rise. How does that convert to royalties? How do we know how much we've earned from this? Confused as to how KU works. TIA",product_or_shipping_inquiry,FALSE,routine inquiry about Kindle Unlimited royalties,"@688270 Hi Claire! That's a great question. Since we don't have access to your account via social media, please reach out to us here: https://t.co/a4M8XU5gJo.  ^SY"
1020924,@AmazonHelp Amazon is supposed to be shipping goods .,product_or_shipping_inquiry,FALSE,,"@146755 Thanks for confirming! Did you take the advise and reorder the ite? If so, were you given a new delivery date? ^HC"
