customer_tweet_id,customer_text,brand_tweet_id,brand_reply_text
87,Does order #70142 include international shipping or is that separate?,88,"Great question! International shipping is included in the price shown at checkout for order #70142, no extra charge."
89,"Can't log into my account, it keeps saying invalid password even after reset. Help!",90,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
91,Does order #83579 include international shipping or is that separate?,92,"Great question! International shipping is included in the price shown at checkout for order #83579, no extra charge."
93,"Can't log into my account, it keeps saying invalid password even after reset. Help!",94,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
95,"I was charged twice for order #62350, please fix this immediately.",96,Apologies for the duplicate charge on #62350. I've flagged this with billing and the extra charge will be reversed within 2 business days.
97,I returned item #28131 two weeks ago and still no refund. This is ridiculous.,98,"I'm sorry about the delay on your refund for #28131. I've escalated this to our refunds team, you should see it within 3-5 business days."
99,Order #21915 arrived completely broken. Packaging was fine but the item inside is smashed.,100,"So sorry to hear that! I've started a replacement for order #21915, no need to return the damaged item. It'll ship within 24 hours."
101,"My order #24371 still hasn't arrived, it's been 5 days past the estimate. Where is it??",102,"Sorry for the wait! I've checked order #24371 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
103,Does order #30969 include international shipping or is that separate?,104,"Great question! International shipping is included in the price shown at checkout for order #30969, no extra charge."
105,Does order #65333 include international shipping or is that separate?,106,"Great question! International shipping is included in the price shown at checkout for order #65333, no extra charge."
107,"My order #60432 still hasn't arrived, it's been 9 days past the estimate. Where is it??",108,"Sorry for the wait! I've checked order #60432 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
109,"I was charged twice for order #71348, please fix this immediately.",110,Apologies for the duplicate charge on #71348. I've flagged this with billing and the extra charge will be reversed within 2 business days.
111,"Can't log into my account, it keeps saying invalid password even after reset. Help!",112,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
113,Does order #25014 include international shipping or is that separate?,114,"Great question! International shipping is included in the price shown at checkout for order #25014, no extra charge."
115,"I was charged twice for order #44973, please fix this immediately.",116,Apologies for the duplicate charge on #44973. I've flagged this with billing and the extra charge will be reversed within 2 business days.
117,Does order #54587 include international shipping or is that separate?,118,"Great question! International shipping is included in the price shown at checkout for order #54587, no extra charge."
119,"Can't log into my account, it keeps saying invalid password even after reset. Help!",120,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
121,Order #10425 arrived completely broken. Packaging was fine but the item inside is smashed.,122,"So sorry to hear that! I've started a replacement for order #10425, no need to return the damaged item. It'll ship within 24 hours."
123,Does order #44522 include international shipping or is that separate?,124,"Great question! International shipping is included in the price shown at checkout for order #44522, no extra charge."
125,This is the THIRD time I've contacted support about order #33416 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,126,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
127,"My order #91959 still hasn't arrived, it's been 7 days past the estimate. Where is it??",128,"Sorry for the wait! I've checked order #91959 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
129,This is the THIRD time I've contacted support about order #93748 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,130,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
131,"I was charged twice for order #36071, please fix this immediately.",132,Apologies for the duplicate charge on #36071. I've flagged this with billing and the extra charge will be reversed within 2 business days.
133,"Can't log into my account, it keeps saying invalid password even after reset. Help!",134,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
135,This is the THIRD time I've contacted support about order #79514 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,136,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
137,"I was charged twice for order #52487, please fix this immediately.",138,Apologies for the duplicate charge on #52487. I've flagged this with billing and the extra charge will be reversed within 2 business days.
139,"My order #24662 still hasn't arrived, it's been 8 days past the estimate. Where is it??",140,"Sorry for the wait! I've checked order #24662 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
141,This is the THIRD time I've contacted support about order #50306 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,142,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
143,"My order #41571 still hasn't arrived, it's been 12 days past the estimate. Where is it??",144,"Sorry for the wait! I've checked order #41571 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
145,"My order #21226 still hasn't arrived, it's been 14 days past the estimate. Where is it??",146,"Sorry for the wait! I've checked order #21226 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
147,Order #19071 arrived completely broken. Packaging was fine but the item inside is smashed.,148,"So sorry to hear that! I've started a replacement for order #19071, no need to return the damaged item. It'll ship within 24 hours."
149,"I was charged twice for order #26483, please fix this immediately.",150,Apologies for the duplicate charge on #26483. I've flagged this with billing and the extra charge will be reversed within 2 business days.
151,Does order #72296 include international shipping or is that separate?,152,"Great question! International shipping is included in the price shown at checkout for order #72296, no extra charge."
153,I returned item #44741 two weeks ago and still no refund. This is ridiculous.,154,"I'm sorry about the delay on your refund for #44741. I've escalated this to our refunds team, you should see it within 3-5 business days."
155,This is the THIRD time I've contacted support about order #89507 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,156,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
157,I returned item #80686 two weeks ago and still no refund. This is ridiculous.,158,"I'm sorry about the delay on your refund for #80686. I've escalated this to our refunds team, you should see it within 3-5 business days."
159,Does order #36365 include international shipping or is that separate?,160,"Great question! International shipping is included in the price shown at checkout for order #36365, no extra charge."
161,"Can't log into my account, it keeps saying invalid password even after reset. Help!",162,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
163,Does order #58944 include international shipping or is that separate?,164,"Great question! International shipping is included in the price shown at checkout for order #58944, no extra charge."
165,"I was charged twice for order #69177, please fix this immediately.",166,Apologies for the duplicate charge on #69177. I've flagged this with billing and the extra charge will be reversed within 2 business days.
167,I returned item #39451 two weeks ago and still no refund. This is ridiculous.,168,"I'm sorry about the delay on your refund for #39451. I've escalated this to our refunds team, you should see it within 3-5 business days."
169,"Can't log into my account, it keeps saying invalid password even after reset. Help!",170,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
171,"I was charged twice for order #40161, please fix this immediately.",172,Apologies for the duplicate charge on #40161. I've flagged this with billing and the extra charge will be reversed within 2 business days.
173,I returned item #10942 two weeks ago and still no refund. This is ridiculous.,174,"I'm sorry about the delay on your refund for #10942. I've escalated this to our refunds team, you should see it within 3-5 business days."
175,Does order #92719 include international shipping or is that separate?,176,"Great question! International shipping is included in the price shown at checkout for order #92719, no extra charge."
177,I returned item #18834 two weeks ago and still no refund. This is ridiculous.,178,"I'm sorry about the delay on your refund for #18834. I've escalated this to our refunds team, you should see it within 3-5 business days."
179,This is the THIRD time I've contacted support about order #53309 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,180,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
181,"I was charged twice for order #41195, please fix this immediately.",182,Apologies for the duplicate charge on #41195. I've flagged this with billing and the extra charge will be reversed within 2 business days.
183,Does order #73624 include international shipping or is that separate?,184,"Great question! International shipping is included in the price shown at checkout for order #73624, no extra charge."
185,"I was charged twice for order #27342, please fix this immediately.",186,Apologies for the duplicate charge on #27342. I've flagged this with billing and the extra charge will be reversed within 2 business days.
187,"I was charged twice for order #85525, please fix this immediately.",188,Apologies for the duplicate charge on #85525. I've flagged this with billing and the extra charge will be reversed within 2 business days.
189,I returned item #71993 two weeks ago and still no refund. This is ridiculous.,190,"I'm sorry about the delay on your refund for #71993. I've escalated this to our refunds team, you should see it within 3-5 business days."
191,Order #34957 arrived completely broken. Packaging was fine but the item inside is smashed.,192,"So sorry to hear that! I've started a replacement for order #34957, no need to return the damaged item. It'll ship within 24 hours."
193,"My order #96374 still hasn't arrived, it's been 9 days past the estimate. Where is it??",194,"Sorry for the wait! I've checked order #96374 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
195,"Can't log into my account, it keeps saying invalid password even after reset. Help!",196,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
197,Order #17100 arrived completely broken. Packaging was fine but the item inside is smashed.,198,"So sorry to hear that! I've started a replacement for order #17100, no need to return the damaged item. It'll ship within 24 hours."
199,Does order #94696 include international shipping or is that separate?,200,"Great question! International shipping is included in the price shown at checkout for order #94696, no extra charge."
201,"My order #62772 still hasn't arrived, it's been 14 days past the estimate. Where is it??",202,"Sorry for the wait! I've checked order #62772 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
203,"Can't log into my account, it keeps saying invalid password even after reset. Help!",204,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
205,I returned item #34931 two weeks ago and still no refund. This is ridiculous.,206,"I'm sorry about the delay on your refund for #34931. I've escalated this to our refunds team, you should see it within 3-5 business days."
207,Order #28373 arrived completely broken. Packaging was fine but the item inside is smashed.,208,"So sorry to hear that! I've started a replacement for order #28373, no need to return the damaged item. It'll ship within 24 hours."
209,I returned item #46509 two weeks ago and still no refund. This is ridiculous.,210,"I'm sorry about the delay on your refund for #46509. I've escalated this to our refunds team, you should see it within 3-5 business days."
211,I returned item #19880 two weeks ago and still no refund. This is ridiculous.,212,"I'm sorry about the delay on your refund for #19880. I've escalated this to our refunds team, you should see it within 3-5 business days."
213,This is the THIRD time I've contacted support about order #82132 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,214,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
215,"My order #95477 still hasn't arrived, it's been 11 days past the estimate. Where is it??",216,"Sorry for the wait! I've checked order #95477 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
217,This is the THIRD time I've contacted support about order #11934 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,218,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
219,This is the THIRD time I've contacted support about order #40982 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,220,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
221,Order #73653 arrived completely broken. Packaging was fine but the item inside is smashed.,222,"So sorry to hear that! I've started a replacement for order #73653, no need to return the damaged item. It'll ship within 24 hours."
223,I returned item #62565 two weeks ago and still no refund. This is ridiculous.,224,"I'm sorry about the delay on your refund for #62565. I've escalated this to our refunds team, you should see it within 3-5 business days."
225,I returned item #59672 two weeks ago and still no refund. This is ridiculous.,226,"I'm sorry about the delay on your refund for #59672. I've escalated this to our refunds team, you should see it within 3-5 business days."
227,Order #44760 arrived completely broken. Packaging was fine but the item inside is smashed.,228,"So sorry to hear that! I've started a replacement for order #44760, no need to return the damaged item. It'll ship within 24 hours."
229,This is the THIRD time I've contacted support about order #69638 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,230,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
231,Order #82845 arrived completely broken. Packaging was fine but the item inside is smashed.,232,"So sorry to hear that! I've started a replacement for order #82845, no need to return the damaged item. It'll ship within 24 hours."
233,Does order #73788 include international shipping or is that separate?,234,"Great question! International shipping is included in the price shown at checkout for order #73788, no extra charge."
235,I returned item #48890 two weeks ago and still no refund. This is ridiculous.,236,"I'm sorry about the delay on your refund for #48890. I've escalated this to our refunds team, you should see it within 3-5 business days."
237,"My order #85914 still hasn't arrived, it's been 14 days past the estimate. Where is it??",238,"Sorry for the wait! I've checked order #85914 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
239,"I was charged twice for order #17989, please fix this immediately.",240,Apologies for the duplicate charge on #17989. I've flagged this with billing and the extra charge will be reversed within 2 business days.
241,"Can't log into my account, it keeps saying invalid password even after reset. Help!",242,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
243,"I was charged twice for order #72493, please fix this immediately.",244,Apologies for the duplicate charge on #72493. I've flagged this with billing and the extra charge will be reversed within 2 business days.
245,This is the THIRD time I've contacted support about order #79615 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,246,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
247,"My order #76562 still hasn't arrived, it's been 4 days past the estimate. Where is it??",248,"Sorry for the wait! I've checked order #76562 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
249,This is the THIRD time I've contacted support about order #34356 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,250,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
251,"I was charged twice for order #18907, please fix this immediately.",252,Apologies for the duplicate charge on #18907. I've flagged this with billing and the extra charge will be reversed within 2 business days.
253,This is the THIRD time I've contacted support about order #40828 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,254,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
255,"My order #84668 still hasn't arrived, it's been 6 days past the estimate. Where is it??",256,"Sorry for the wait! I've checked order #84668 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
257,"I was charged twice for order #87924, please fix this immediately.",258,Apologies for the duplicate charge on #87924. I've flagged this with billing and the extra charge will be reversed within 2 business days.
259,"I was charged twice for order #20745, please fix this immediately.",260,Apologies for the duplicate charge on #20745. I've flagged this with billing and the extra charge will be reversed within 2 business days.
261,Does order #86503 include international shipping or is that separate?,262,"Great question! International shipping is included in the price shown at checkout for order #86503, no extra charge."
263,"I was charged twice for order #51467, please fix this immediately.",264,Apologies for the duplicate charge on #51467. I've flagged this with billing and the extra charge will be reversed within 2 business days.
265,I returned item #97782 two weeks ago and still no refund. This is ridiculous.,266,"I'm sorry about the delay on your refund for #97782. I've escalated this to our refunds team, you should see it within 3-5 business days."
267,"Can't log into my account, it keeps saying invalid password even after reset. Help!",268,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
269,Order #27154 arrived completely broken. Packaging was fine but the item inside is smashed.,270,"So sorry to hear that! I've started a replacement for order #27154, no need to return the damaged item. It'll ship within 24 hours."
271,Does order #49321 include international shipping or is that separate?,272,"Great question! International shipping is included in the price shown at checkout for order #49321, no extra charge."
273,"Can't log into my account, it keeps saying invalid password even after reset. Help!",274,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
275,Order #91416 arrived completely broken. Packaging was fine but the item inside is smashed.,276,"So sorry to hear that! I've started a replacement for order #91416, no need to return the damaged item. It'll ship within 24 hours."
277,"My order #19602 still hasn't arrived, it's been 11 days past the estimate. Where is it??",278,"Sorry for the wait! I've checked order #19602 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
279,I returned item #76307 two weeks ago and still no refund. This is ridiculous.,280,"I'm sorry about the delay on your refund for #76307. I've escalated this to our refunds team, you should see it within 3-5 business days."
281,I returned item #55745 two weeks ago and still no refund. This is ridiculous.,282,"I'm sorry about the delay on your refund for #55745. I've escalated this to our refunds team, you should see it within 3-5 business days."
283,I returned item #58434 two weeks ago and still no refund. This is ridiculous.,284,"I'm sorry about the delay on your refund for #58434. I've escalated this to our refunds team, you should see it within 3-5 business days."
285,I returned item #67433 two weeks ago and still no refund. This is ridiculous.,286,"I'm sorry about the delay on your refund for #67433. I've escalated this to our refunds team, you should see it within 3-5 business days."
287,Does order #49651 include international shipping or is that separate?,288,"Great question! International shipping is included in the price shown at checkout for order #49651, no extra charge."
289,This is the THIRD time I've contacted support about order #95717 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,290,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
291,"My order #97538 still hasn't arrived, it's been 11 days past the estimate. Where is it??",292,"Sorry for the wait! I've checked order #97538 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
293,"Can't log into my account, it keeps saying invalid password even after reset. Help!",294,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
295,I returned item #44664 two weeks ago and still no refund. This is ridiculous.,296,"I'm sorry about the delay on your refund for #44664. I've escalated this to our refunds team, you should see it within 3-5 business days."
297,"My order #82512 still hasn't arrived, it's been 5 days past the estimate. Where is it??",298,"Sorry for the wait! I've checked order #82512 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
299,"Can't log into my account, it keeps saying invalid password even after reset. Help!",300,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
301,I returned item #54942 two weeks ago and still no refund. This is ridiculous.,302,"I'm sorry about the delay on your refund for #54942. I've escalated this to our refunds team, you should see it within 3-5 business days."
303,Does order #93130 include international shipping or is that separate?,304,"Great question! International shipping is included in the price shown at checkout for order #93130, no extra charge."
305,"I was charged twice for order #74032, please fix this immediately.",306,Apologies for the duplicate charge on #74032. I've flagged this with billing and the extra charge will be reversed within 2 business days.
307,This is the THIRD time I've contacted support about order #16658 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,308,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
309,Does order #65518 include international shipping or is that separate?,310,"Great question! International shipping is included in the price shown at checkout for order #65518, no extra charge."
311,"My order #10464 still hasn't arrived, it's been 8 days past the estimate. Where is it??",312,"Sorry for the wait! I've checked order #10464 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
313,This is the THIRD time I've contacted support about order #27146 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,314,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
315,"Can't log into my account, it keeps saying invalid password even after reset. Help!",316,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
317,Order #82309 arrived completely broken. Packaging was fine but the item inside is smashed.,318,"So sorry to hear that! I've started a replacement for order #82309, no need to return the damaged item. It'll ship within 24 hours."
319,Order #83519 arrived completely broken. Packaging was fine but the item inside is smashed.,320,"So sorry to hear that! I've started a replacement for order #83519, no need to return the damaged item. It'll ship within 24 hours."
321,"My order #19862 still hasn't arrived, it's been 14 days past the estimate. Where is it??",322,"Sorry for the wait! I've checked order #19862 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
323,I returned item #81511 two weeks ago and still no refund. This is ridiculous.,324,"I'm sorry about the delay on your refund for #81511. I've escalated this to our refunds team, you should see it within 3-5 business days."
325,This is the THIRD time I've contacted support about order #58393 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,326,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
327,"I was charged twice for order #29410, please fix this immediately.",328,Apologies for the duplicate charge on #29410. I've flagged this with billing and the extra charge will be reversed within 2 business days.
329,I returned item #15482 two weeks ago and still no refund. This is ridiculous.,330,"I'm sorry about the delay on your refund for #15482. I've escalated this to our refunds team, you should see it within 3-5 business days."
331,"Can't log into my account, it keeps saying invalid password even after reset. Help!",332,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
333,I returned item #99399 two weeks ago and still no refund. This is ridiculous.,334,"I'm sorry about the delay on your refund for #99399. I've escalated this to our refunds team, you should see it within 3-5 business days."
335,Does order #23473 include international shipping or is that separate?,336,"Great question! International shipping is included in the price shown at checkout for order #23473, no extra charge."
337,This is the THIRD time I've contacted support about order #83385 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,338,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
339,"I was charged twice for order #30257, please fix this immediately.",340,Apologies for the duplicate charge on #30257. I've flagged this with billing and the extra charge will be reversed within 2 business days.
341,This is the THIRD time I've contacted support about order #31299 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,342,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
343,This is the THIRD time I've contacted support about order #33206 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,344,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
345,"My order #33509 still hasn't arrived, it's been 14 days past the estimate. Where is it??",346,"Sorry for the wait! I've checked order #33509 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
347,"Can't log into my account, it keeps saying invalid password even after reset. Help!",348,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
349,Does order #42527 include international shipping or is that separate?,350,"Great question! International shipping is included in the price shown at checkout for order #42527, no extra charge."
351,I returned item #24168 two weeks ago and still no refund. This is ridiculous.,352,"I'm sorry about the delay on your refund for #24168. I've escalated this to our refunds team, you should see it within 3-5 business days."
353,This is the THIRD time I've contacted support about order #15075 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,354,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
355,I returned item #36158 two weeks ago and still no refund. This is ridiculous.,356,"I'm sorry about the delay on your refund for #36158. I've escalated this to our refunds team, you should see it within 3-5 business days."
